respondent_id,country,years_experience,projects_maintained,stance,rationale_prohibit,rationale_allow,conditions,has_policy,expected_outcomes,change_prs_submitted,change_ai_prs_submitted,change_low_quality_prs,change_code_quality_merged,change_review_workload,change_merge_latency,change_first_comment_latency,change_closure_latency,change_new_contributors,change_community_engagement,compliance,enforcement_methods,difficulties,comments
44,United States (US),> 10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Concerns about security vulnerabilities introduced via AI-generated code;Difficult to verify AI-generated code quality,,,No,,,,,,,,,,,,,,,
45,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;Allowing AI attracts more contributors;AI tools help lower the barrier for new contributors,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,
46,India (IN),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce;Community consensus to allow,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,Well this survey clearly gave me an idea to have a AI Content Policy in all my projects from now on. Thanks!
47,China (CN),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,"Contradictory to my preference, most users of my projects reject AI code, so I don’t use AI tools in related projects, nor propose an AI policy to them. That said, I’m currently experimenting AI tools, if condition permits (productivity needed, long-term development, and it populates) my future projects may gain an AI policy."
48,Venezuela (VE),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,
49,United States (US),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce;AI use is encouraged/allowed by company I work for,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,Decreased somewhat,Decreased somewhat,Decreased somewhat,No change,Increased a lot,Increased somewhat,No change,Increased a lot,Increased somewhat,Increased somewhat,Mostly followed,"The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Insufficient maintainer bandwidth to enforce,
50,United Kingdom (GB),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;AI tools help lower the barrier for new contributors,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors,No change,No change,No change,No change,Decreased somewhat,No change,Decreased a lot,Decreased somewhat,No change,No change,Somewhat followed,"Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",None of the above,
51,Germany (DE),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions;Encourage more thoughtful and meaningful contributions,Increased somewhat,Increased somewhat,No change,Increased somewhat,Increased somewhat,Increased somewhat,No change,No change,Increased somewhat,Increased somewhat,Mostly followed,"Reviewers check for AI use during code review;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist)",Hard to detect whether a contribution is AI-generated;Policy too vague or difficult to interpret;Insufficient maintainer bandwidth to enforce;Policy does not cover all AI use scenarios,
52,United Kingdom (GB),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,
53,China (CN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Encourage more thoughtful and meaningful contributions,No change,Increased somewhat,Decreased somewhat,No change,No change,No change,Decreased somewhat,Decreased somewhat,No change,No change,Mostly followed,"Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);The policy specifies consequences for violations (e.g., PR rejection, temporary ban)",Hard to detect whether a contribution is AI-generated;Contributors unwilling to disclose AI use;Lack of tools or processes to verify compliance;Insufficient maintainer bandwidth to enforce,
54,France (FR),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Maintain community trust and transparency;Block spam or low-effort AI-generated contributions,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,Somewhat followed,Reviewers check for AI use during code review,Lack of tools or processes to verify compliance,
55,France (FR),1-3 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Intellectual property and licensing concerns;Difficult to verify AI-generated code quality;Community consensus to prohibit,,,No,,,,,,,,,,,,,,,"Just for precision, AI is just a tool and therefore, is not enough to contribute efficiently to a project.

The work of a software engineer is not only coding, but understanding the code, architecture it, create simple solution to complex problem...
AI can solve the ""code"" issue but for the other items ... It's not that great. (especially the understanding code part... and since contributing require understanding the code first...)

I think the main problem with IA is the multiplication of ""coders"" who don't have any knowledge about how to do a Pull Request.

* They create a single commit PR with a shit load of modification which are a pain to review
* They sometimes don't even make sure coding style / CI tests are passing
* They don't understand the code they just submitted .... But it just ""works"" (IF they tested it first)

This is why, when I see a PR made by IA ... I'm really not incline to accept/review it."
56,Italy (IT),> 10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,
57,Brazil (BR),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,"AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce;If it's a simple, small contribution, and the author carefully reviewed the output, it's fine. The problem begins when contributors try using AI to one-shot big changes, in that case I simply reject the contribution.",AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,"I haven't written an AI contributions policy yet, I did think about doing it, but I simply haven't received enough ""slop"" contributions for it to feel necessary."
58,Australia (AU),4-10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
59,Egypt (EG),1-3 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no)",No,,,,,,,,,,,,,,,
60,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity,AI-generated contributions must undergo manual review,No,,,,,,,,,,,,,,,
61,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,Yeah I don't any comments for now .
62,China (CN),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,"It’s necessary to have a policy to restrict the use of AI-generated content, there are so many successful examples like linux or some other projects. Meanwhile, I’m actually actively promoting the regulations to be implemented in my open-source projects’ community."
63,India (IN),1-3 years,11-15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly,"Contributors must explicitly disclose that AI tools were used;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must adhere to the project's existing coding style",Yes,Improve overall code quality;Protect the project from legal or IP risks;Maintain community trust and transparency;Encourage more thoughtful and meaningful contributions,Increased somewhat,No change,Increased somewhat,Increased somewhat,Decreased somewhat,Decreased a lot,Decreased somewhat,Decreased somewhat,No change,Increased somewhat,Mostly followed,"Compliance relies on contributors' self-reporting and good faith;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);Automated pipeline/tool checks that flag potential AI-generated code;The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Hard to detect whether a contribution is AI-generated;Policy too vague or difficult to interpret;Lack of tools or processes to verify compliance;Policy does not cover all AI use scenarios,
64,Nepal (NP),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
65,Indonesia (ID),4-10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately,,,No,,,,,,,,,,,,,,,I prefer having contributors who know how thing works or know a little but interested to learn more and make progress than people who do vibe coding that may not have deep understanding about the project and only submit one PR then they go away.
66,United States (US),1-3 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Intellectual property and licensing concerns;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately;Community consensus to prohibit,,,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Encourage more thoughtful and meaningful contributions;Set expectations for new contributors;set common standards for reviewers,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,Fully followed,"Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith;The policy specifies consequences for violations (e.g., PR rejection, temporary ban)",it has not been difficult,"The policy has been in place almost since the project was started, so there was not a significant amount of time or contributions prior to having a policy"
67,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
68,Spain (ES),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style;The AI generated code must be reviewed, manually and automatically tested, and pass all the checks that manual code must pass",No,,,,,,,,,,,,,,,"My projects didn’t receive a massive amount of contributions due to AI yet. In the short term, I expect it, and if that becomes a problem, I would set more restrictive policy for AI generated code. Meanwhile, I accept any AI contribution, as it accelerates the development, but the code must be good enough to be accepted."
